A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
1688.30100130518,2979.261265753236,-12279.742799527552,-2329.1760501567333,-6226.553808305156,-5846.482301463786,-75.02263525521927,316.43481977240526,-1360.7059918293626,5294.72795826609,-422.46638617400464,1304.426474620245
5873.843251000107,682.0341628065829,-13893.590955164333,-1414.5710011704748,-9292.252069929442,-8543.30165500956,-2405.6863590781754,-235.0956132668732,2179.5524011497628,-634.9590103946902,6322.828583684574,4415.813755183066
-3198.3852895636005,-4297.904837383893,-12461.157543391757,4422.8079968435295,-425.94492812091903,-3068.6524694123286,203.98265978075386,1393.7640681129687,1564.5712832411105,-2587.3514427761284,2771.184344190002,3303.556998512966
-2218.040974743504,-387.11413160738493,-12985.720423029694,2065.6602839848647,2974.5278053988704,-4306.92083077042,444.8546708122052,4120.488098620845,473.679256662152,-2796.012965295946,2802.63934515441,4734.648256099952
-2.499297058665694,-1211.3909920779126,-10847.726379889926,2655.511124909586,1023.0275214498115,-5924.652909603106,327.30363228722956,1480.9777942579076,-661.7109287405364,-2665.7082894679834,4293.095505293317,1946.0379190725396
-5292.684497219524,710.6336776447295,-6585.340917472449,2906.0000755320298,5058.273118940558,-5734.265577889953,3077.9056042159427,-1472.571480458388,3192.7094011912104,-964.7227722322193,11033.860133249927,3014.7451871868852
-2661.03455291431,590.2996878876527,-5320.872184758291,4770.26043341876,3819.765456592767,-6094.031689964468,916.2832222412736,2525.918482705651,3342.2574999601306,-184.56706769836347,1732.478118823358,2053.2334421398514
-4001.4994027466055,86.12500089321604,-10142.358453576673,6654.049231585047,3526.7825295269113,-8540.731500757902,1117.1043553463578,1740.1839153359344,5608.486487403479,1238.0317005598563,1672.519731962293,5871.879458462238
-2066.0362247646212,-1684.491239697358,-9205.628550112087,5336.310573117509,1858.1835504911076,-10945.036667460237,4087.90450369007,3341.4580476180845,506.0663153220285,1095.954624787135,1823.07413155166,459.7711970060112
-4642.304969564595,-1776.4828961855262,-9944.04996764802,6968.856603867288,1307.7262415264424,-7805.999146936628,3386.920451596293,3110.548235073149,3149.142592596011,1758.6616604919222,3120.3454255923857,6608.635975199346
-4176.910278726277,-2040.5395366819594,-7873.481518788018,4879.553507964714,3348.75834042664,-8041.223805570992,4466.819182156624,1230.5560177979855,2643.3050327442866,2581.1389176382822,1242.0121332986973,5744.424964514992
-3502.721839539695,538.0303325641789,-9257.271736306639,4856.023157921987,1045.0276960043702,-11278.69575539974,3162.187987312606,832.6206557303867,-3166.5805148364684,6704.279485458859,1566.6737570873372,7140.803373812231
-3188.5688470744003,1580.2934388138012,-9338.529541573176,4166.929247649259,3062.2127359313854,-9040.111654131275,3404.716691556211,1175.575545047733,-3206.64304945783,4471.400498230042,1304.9048940403784,3604.014197908546
-4219.665686486987,-3164.8968427189247,-9842.89281042197,3273.7685261340857,2354.721370460659,-8853.419122530346,2009.5245930921867,3424.815013813661,-3241.8791453423164,6981.822118790385,139.49386124134145,6580.650757233544
-5336.50064753062,346.39876001894623,-12253.828968591723,1658.882527042634,3911.6452966440456,-7865.173229639227,1305.0955358245783,1356.1802348601016,-2999.261487457826,6309.519975655317,-1601.739096886848,5289.4073376668075
-5667.095025609823,87.73843090023523,-10266.884497972878,3371.399270879015,935.9839946792567,-10595.159079293071,6409.550363472363,3415.243077832923,-5514.641957664647,4908.534805551764,1322.4325513019635,4993.702796676712
-7629.740403763344,-1593.78671136538,-8983.8579293356,8528.736806155692,3043.849841340634,-7965.3373074645615,3406.296944033406,2527.365540945213,-2405.0081957000425,5597.8455299447405,5374.4186808230825,2320.450985094143
-5113.628625771577,-2004.934565829831,-10383.51261242506,13710.866653608511,6717.86796534557,-9283.338746421223,5111.416821343198,3623.511616094059,1250.4110943050232,6735.863761626688,8492.23572213536,5484.343028885192
-6425.740818682273,-3050.356430892426,-8809.17693672834,8587.94612079713,6789.338833435588,-10199.480061717622,-1310.2326846463525,3861.426039151753,-2802.6820442008398,5155.904098758437,8954.221758363794,-28.706912540143882
-5616.378885767377,-3524.6413188608626,-11411.732521070764,9048.659456735792,8086.168440858535,-13375.226475204196,1441.4976208443265,3539.205754246822,-1973.6023910650576,4703.002863160859,8199.67469227849,-2008.5362716468983
-7419.769155777045,-3401.47359999983,-7702.39871515243,4924.259139275467,8621.316962129597,-6361.362563182397,1548.075280327682,3164.1953394818493,-2839.2814068422003,3635.3526696386543,6901.21259352399,3494.110845300243
-6795.215643624107,-994.6997470278319,-7908.364754587908,7322.256243429138,12778.43754153171,-13248.058613314783,715.801383736346,1733.9512951505458,-552.7610076758904,1515.6495628002174,8058.864514950058,-3648.2766822829476
-10251.003428702332,-1821.399475374023,-6116.045020734968,7643.134872119946,6611.675983342694,-7980.8813073276815,2752.8429312546077,7360.9484319542535,1204.380573074217,3269.218724074349,6393.006717393378,1707.3735862531125
-6713.690205301165,-936.7727070101529,-6628.841923998669,7967.759538357693,9740.410407595782,-8016.276848374843,1188.1664626712668,6121.151672806604,-758.4164382522803,6846.753007162115,9245.973473219186,1573.3384287728659
-6915.391093019911,17.973905495199396,-10038.968961474944,8609.026300744996,9585.541930747871,-9512.989616488474,755.9116578438828,-635.3535626768107,303.77142411662834,7543.550520114141,4378.726881710462,-2801.5178491925053
-7516.805256786964,866.3319197702019,-11486.386508913398,9300.023105375096,10582.500452623146,-8388.177542530128,-292.6993658187534,1161.371889427563,706.5499593007511,5538.817646387903,7904.167476145801,-3722.242430637597
-2895.6765675388106,-1162.7221453330098,-6496.6454572610855,10815.269374755984,10862.020140741995,-10242.800863899598,-3436.1597196969674,6641.5204056634475,7569.000510244815,8901.135994610298,2191.7618852732826,761.8465044799333
-1646.740677452234,-1069.8363178994452,-6551.755544018181,9228.832749475427,10676.42772295298,-11372.122654573142,-3054.9286912095063,1468.2899627383601,6057.624466890823,7706.5942878374035,247.9738531215305,3892.7330731930633
-5145.571201762227,973.2168961339518,-7223.695540499825,8593.401808452141,11891.293540964123,-12958.27897004924,-6123.40445324605,597.0172491594194,3272.7302127779953,7896.04774963906,-3719.2097897419744,-529.5717754245956
